,city,ssp1,ssp2,ssp3,ssp4,ssp5,sleuth2050,ls2012,2000_ls
0,Beijing,8897,7269,6102,7232,10456,8915.95,4367.0,2202
1,Shanghai,8378,6749,5583,6712,9936,8798.92,4439.0,1730
2,Guangzhou,8520,6891,5725,6855,10078,12294.69,4654.0,1859
3,Shenzhen,7772,6144,4977,6107,9331,9670.15,3870.0,1180
4,Wuhan,7957,6329,5162,6292,9516,3266.89,1947.0,1348
5,Chengdu,8061,6432,5266,6395,9619,4427.08,2526.0,1442
6,Chongqing,7669,6040,4874,6003,9227,1460.5,1417.0,1086
7,Tianjin,8079,6451,5284,6414,9638,2998.57,2200.0,1459
8,Hangzhou,8358,6729,5563,6693,9917,2573.08,2410.0,1712
9,Xi'an,8033,6405,5238,6368,9592,1821.71,1711.0,1417
10,Changzhou,8944,7315,6149,7278,10502,3220.52,2914.0,2244
11,Shantou,8106,6477,5311,6441,9664,5119.11,2698.0,1483
12,Nanjing,8229,6600,5434,6564,9788,2079.93,1979.0,1595
13,Jinan,7809,6180,5014,6143,9367,1650.06,1540.0,1213
14,Harbin,7180,5551,4385,5515,8738,2608.92,995.0,642
15,Zhengzhou,7795,6167,5000,6130,9354,2203.81,2081.0,1201
16,New Delhi,6816,5944,5138,5599,7711,4101.17,3725.0,2817
17,Mumbai,5460,4587,3782,4243,6355,1864.04,1796.0,1585
18,Kolkata,9157,8285,7479,7940,10052,5679.39,5177.0,4943
19,Bangalore,5157,4285,3479,3940,6052,2045.63,1956.0,1310
20,Chennai,4970,4098,3292,3753,5865,1275.2,1180.0,1140
21,Washington D.C.,4343,3995,3547,4197,5210,2817.07,2601.0,2053
22,New York City,5924,5576,5128,5778,6791,4070.06,3869.0,3489
23,Los Angeles,6563,6216,5768,6418,7431,5328.96,4654.0,4070
24,Chicago,4678,4331,3883,4533,5546,3063.79,2756.0,2358
25,Jakarta,6130,5873,5706,5846,6355,8791.94,5810.0,4418
26,Surabaya,3974,3718,3550,3691,4200,3075.05,2844.0,2460
27,Brasilia,1283,1134,1014,1107,1437,5941.03,853.0,260
28,São Paulo,3075,2926,2807,2900,3229,11935.03,3358.0,1888
29,Rio de Janeiro,3204,3055,2935,3029,3358,2226.77,2139.0,2005
30,Mexico City,3614,3560,3501,3534,3688,3095.19,3000.0,2545
31,Tokyo,7337,7233,7130,7308,7497,7161.64,6871.0,6061
32,Keihanshin (Kyoto-Osaka-Kobe),4002,3898,3795,3973,4162,3592.91,3500.0,3032
33,Manila,3639,3589,3551,3532,3697,3014.91,2821.0,2690
34,Istanbul,1780,1751,1697,1716,1842,4188.83,1656.0,942
35,Ankara,1222,1193,1139,1158,1283,2961.2,738.0,435
36,Rhine-Ruhr,3007,2971,2878,2986,3133,2149.37,2089.0,2149
37,Berlin,1701,1665,1573,1680,1827,974.0,974.0,963
38,Johannesburg,2545,2513,2472,2496,2592,6099.38,2716.0,1732
39,Pretoria,2249,2217,2176,2200,2296,5787.6,2428.0,1463
40,Hanoi,3917,3871,3839,3864,3964,3354.59,2945.0,2954
41,Bangkok,2556,2508,2442,2481,2627,4054.73,2518.0,1673
42,London,4584,4539,4446,4551,4714,3702.73,3415.0,3511
43,Paris,3215,3175,3100,3193,3324,2566.91,2440.0,2304
44,Rome,1413,1383,1325,1393,1491,1096.3,1005.0,762
45,Bogota,1296,1265,1235,1253,1334,701.68,691.0,612
46,Madrid,1395,1375,1326,1379,1461,1585.46,1496.0,745
47,Buenos Aires,3595,3576,3544,3556,3633,4490.35,2773.0,2687
48,Kiev,1176,1149,1125,1148,1212,580.0,580.0,543
49,Kampala,890,869,853,847,911,3969.04,844.0,305
50,Algiers,1545,1529,1513,1522,1565,1002.35,939.0,898
51,Khartoum,1246,1218,1200,1189,1274,1923.1,1069.0,611
52,Warsaw,1284,1271,1243,1277,1319,881.7,737.0,637
53,Rabat,846,829,811,815,858,389.3,354.0,253
54,Riyadh,1456,1449,1452,1509,1547,896.16,845.0,737
