,city,ssp5,ssp4,ssp3,ssp2,ssp1,sleuth2050,initial
0,Beijing,5731,4682,4033,4533,5184,8915.95,4367.0
1,Shanghai,5216,4167,3518,4018,4668,8798.92,4439.0
2,Guangzhou,5357,4307,3659,4159,4809,12294.69,4654.0
3,Shenzhen,4616,3566,2917,3417,4068,9670.15,3870.0
4,Wuhan,4799,3750,3101,3601,4251,3266.89,1947.0
5,Chengdu,4902,3852,3203,3703,4354,4427.08,2526.0
6,Chongqing,4513,3464,2815,3315,3965,1460.5,1417.0
7,Tianjin,4920,3871,3222,3722,4373,2998.57,2200.0
8,Hangzhou,5197,4147,3498,3998,4649,2573.08,2410.0
9,Xi'an,4875,3825,3176,3676,4327,1821.71,1711.0
10,Changzhou,5777,4728,4079,4579,5230,3220.52,2914.0
11,Shantou,4947,3897,3248,3748,4399,5119.11,2698.0
12,Nanjing,5069,4019,3370,3870,4521,2079.93,1979.0
13,Jinan,4652,3602,2953,3453,4104,1650.06,1540.0
14,Harbin,4028,2979,2330,2830,3481,2608.92,995.0
15,Zhengzhou,4639,3589,2940,3440,4091,2203.81,2081.0
16,New Delhi,4039,3187,2274,3039,3718,4101.17,3725.0
17,Mumbai,2694,1842,929,1694,2373,1864.04,1796.0
18,Kolkata,6360,5508,4595,5359,6039,5679.39,5177.0
19,Bangalore,2394,1542,629,1393,2072,2045.63,1956.0
20,Chennai,2208,1356,444,1208,1887,1275.2,1180.0
21,Washington D.C.,2813,2653,2516,2535,2639,2817.07,2601.0
22,New York City,4380,4221,4083,4103,4207,4070.06,3869.0
23,Los Angeles,5015,4855,4718,4737,4841,5328.96,4654.0
24,Chicago,3146,2986,2849,2868,2972,3063.79,2756.0
25,Jakarta,5255,5091,4949,5047,5171,8791.94,5810.0
26,Surabaya,3118,2954,2811,2910,3033,3075.05,2844.0
27,Brasilia,605,486,374,460,547,5941.03,853.0
28,São Paulo,2382,2263,2151,2237,2324,11935.03,3358.0
29,Rio de Janeiro,2510,2391,2279,2365,2452,2226.77,2139.0
30,Mexico City,3005,2930,2838,2913,2963,3095.19,3000.0
31,Tokyo,6863,6836,6788,6798,6824,7161.64,6871.0
32,Keihanshin (Kyoto-Osaka-Kobe),3556,3529,3482,3491,3517,3592.91,3500.0
33,Manila,3056,2914,2917,2980,3031,3014.91,2821.0
34,Istanbul,1222,1168,1126,1172,1200,4188.83,1656.0
35,Ankara,668,615,573,619,646,2961.2,738.0
36,Rhine-Ruhr,2541,2524,2503,2511,2516,2149.37,2089.0
37,Berlin,1246,1229,1208,1216,1222,974.0,974.0
38,Johannesburg,2044,2029,2009,2021,2034,6099.38,2716.0
39,Pretoria,1751,1735,1716,1728,1740,5787.6,2428.0
40,Hanoi,3409,3373,3333,3361,3389,3354.59,2945.0
41,Bangkok,2045,2002,1973,2001,2025,4054.73,2518.0
42,London,4013,3993,3970,3978,3990,3702.73,3415.0
43,Paris,2676,2665,2645,2648,2658,2566.91,2440.0
44,Rome,978,968,958,959,965,1096.3,1005.0
45,Bogota,817,785,753,780,803,701.68,691.0
46,Madrid,940,934,928,928,932,1585.46,1496.0
47,Buenos Aires,3106,3076,3051,3076,3091,4490.35,2773.0
48,Kiev,786,770,757,765,777,580.0,580.0
49,Kampala,382,283,283,330,371,3969.04,844.0
50,Algiers,1104,1087,1063,1082,1096,1002.35,939.0
51,Khartoum,756,682,687,716,747,1923.1,1069.0
52,Warsaw,861,858,851,852,854,881.7,737.0
53,Rabat,426,403,381,404,416,389.3,354.0
54,Riyadh,937,909,900,902,914,896.16,845.0
55,Lima,1055,1033,1010,1030,1044,909.84,899.0
56,Tashkent,1142,1132,1110,1125,1135,1195.28,1087.0
57,Kuala Lumpur,779,758,737,755,768,6596.19,1524.0
58,Maputo,222,190,190,202,217,1568.87,316.0
59,Kathmandu,542,494,494,519,536,1331.23,798.0
60,Accra,716,669,670,691,709,1941.89,918.0
61,Yaounde,317,290,291,303,312,349.49,315.0
62,Colombo,1431,1418,1405,1416,1425,1581.79,1404.0
63,Bucharest,624,614,607,612,618,556.53,441.0
64,Ouagadougou,279,240,238,258,274,2803.93,440.0
65,Bamako,251,220,219,233,247,1394.56,320.0
66,Santiago,1106,1095,1086,1094,1100,968.04,932.0
67,Lusaka,262,227,227,245,257,287.74,257.0
68,Amsterdam,1603,1599,1594,1598,1598,1934.66,1646.0
69,Guatemala City,726,692,690,709,721,765.77,753.0
70,Quito,487,477,465,476,483,479.9,469.0
71,Dakar,328,297,295,312,323,286.26,263.0
72,Conakry,315,294,291,302,310,244.07,209.0
73,Tunis,577,572,567,571,574,642.3,591.0
74,Brussels,1320,1318,1315,1317,1317,992.69,987.0
75,Porto Novo,505,492,493,497,503,1573.81,767.0
76,Athens,710,708,705,706,708,642.02,631.0
77,La Paz,249,233,229,239,245,197.52,181.0
78,Port au Prince,606,595,593,599,602,673.08,657.0
79,Santo Domingo,534,528,520,527,531,605.19,551.0
80,Prague,602,599,595,597,598,519.75,492.0
81,Lisbon,738,737,736,736,737,860.37,819.0
82,Stockholm,714,712,709,710,711,509.13,471.0
83,Baku,541,539,535,537,539,446.89,421.0
84,Budapest,821,821,820,821,820,839.83,762.0
85,Amman,604,595,595,598,602,1038.64,689.0
86,Minsk,438,434,431,433,436,364.93,334.0
87,Abu Dhabi,295,282,273,276,280,180.59,176.0
88,Belgrade,569,567,565,566,568,310.0,310.0
89,Vienna,720,717,715,716,717,510.56,508.0
90,Bern,401,397,394,396,397,351.17,309.0
91,Tel Aviv1,1101,1098,1094,1095,1098,993.36,936.0
92,Lome,252,246,246,248,251,3713.38,525.0
93,Sofia,470,467,465,467,468,342.0,342.0
94,Asuncion,446,437,436,440,444,1569.84,612.0
95,San Salvador,750,746,741,746,748,686.97,652.0
96,Managua,372,367,362,367,369,308.24,289.0
97,Beirut,495,493,491,493,494,510.31,494.0
98,Copenhagen,735,734,733,733,733,714.96,640.0
99,Singapore,801,797,795,798,798,2209.84,898.0
100,Helsinki,528,528,526,526,527,389.89,370.0
101,Oslo,418,416,413,414,415,321.03,301.0
102,San Jose,1526,1523,1521,1523,1525,1554.13,1422.0
103,Dublin,599,598,597,598,597,622.15,579.0
104,Zagreb,416,415,413,414,415,265.0,265.0
105,Tbilisi,393,391,389,391,392,243.0,243.0
106,Montevideo,552,549,548,549,551,368.0,368.0
107,Ulaanbaatar,252,250,247,249,251,204.84,194.0
108,Yerevan,482,480,479,480,481,285.5,271.0
109,Kingston,3813,3811,3809,3811,3812,4035.1,3161.0
110,Ljubljana,284,283,283,283,283,145.0,145.0
111,Riga,321,320,319,320,320,205.0,205.0
112,Tallinn,250,250,250,250,250,137.0,137.0
113,Georgetown,1874,1874,1873,1874,1874,1849.48,1714.0
