,city,country_x,2000_ls,2005_ls,2010_ls,region,p2000,p2005,p2010,g2000,g2005,g2010
0,Beijing,China,2202,3360,3503,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
1,Shanghai,China,1730,3058,3286,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
2,Guangzhou,China,1859,3103,3926,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
3,Shenzhen,China,1180,2603,3502,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
4,Wuhan,China,1348,1828,1991,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
5,Chengdu,China,1442,1849,1882,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
6,Chongqing,China,1086,1250,1282,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
7,Tianjin,China,1459,1883,1865,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
8,Hangzhou,China,1712,1842,1945,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
9,Xi'an,China,1417,1524,1421,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
10,Changzhou,China,2244,2398,2340,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
11,Shantou,China,1483,2261,2628,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
12,Nanjing,China,1595,1851,1779,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
13,Jinan,China,1213,1346,1379,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
14,Harbin,China,642,900,847,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
15,Zhengzhou,China,1201,1728,1707,Asia,1269.116737,1307.593489,1341.335152,3368.06687910723,5364.250894569498,9122.23735582665
16,New Delhi,India,2817,3229,3634,Asia,1053.898107,1140.042863,1224.614327,1797.3755385528884,2517.2815954497214,3762.85903426931
17,Mumbai,India,1585,1910,1754,Asia,1053.898107,1140.042863,1224.614327,1797.3755385528884,2517.2815954497214,3762.85903426931
18,Kolkata,India,4943,5072,5396,Asia,1053.898107,1140.042863,1224.614327,1797.3755385528884,2517.2815954497214,3762.85903426931
19,Bangalore,India,1310,1841,1957,Asia,1053.898107,1140.042863,1224.614327,1797.3755385528884,2517.2815954497214,3762.85903426931
20,Chennai,India,1140,1051,1105,Asia,1053.898107,1140.042863,1224.614327,1797.3755385528884,2517.2815954497214,3762.85903426931
21,Washington D.C.,United States,2053,2349,2343,Americas,282.49631,296.820296,310.383948,11167.7,12579.7,13084.55659
22,New York City,United States,3489,3730,3772,Americas,282.49631,296.820296,310.383948,11167.7,12579.7,13084.55659
23,Los Angeles,United States,4070,4536,4607,Americas,282.49631,296.820296,310.383948,11167.7,12579.7,13084.55659
24,Chicago,United States,2358,2618,2573,Americas,282.49631,296.820296,310.383948,11167.7,12579.7,13084.55659
25,Jakarta,Indonesia,4418,5452,5634,Asia,213.395411,227.30317499999998,239.870937,559.7442176464306,705.158950677719,930.654243069005
26,Surabaya,Indonesia,2460,2855,2985,Asia,213.395411,227.30317499999998,239.870937,559.7442176464306,705.158950677719,930.654243069005
27,Brasilia,Brazil,260,707,748,Americas,174.425387,185.986964,194.94647,1379.5488413706855,1582.642363388722,1960.360571240302
28,São Paulo,Brazil,1888,3033,3103,Americas,174.425387,185.986964,194.94647,1379.5488413706855,1582.642363388722,1960.360571240302
29,Rio de Janeiro,Brazil,2005,2025,2032,Americas,174.425387,185.986964,194.94647,1379.5488413706855,1582.642363388722,1960.360571240302
30,Mexico City,Mexico,2545,2712,2712,Americas,99.959594,106.483757,113.42304700000001,1184.7930379032925,1298.1502773108532,1411.0937527544643
31,Tokyo,Japan,6061,6385,6418,Asia,125.72031,126.392944,126.53592,3630.1067181661324,3872.843144471024,3896.5514045376885
32,Keihanshin (Kyoto-Osaka-Kobe),Japan,3032,3205,3207,Asia,125.72031,126.392944,126.53592,3630.1067181661324,3872.843144471024,3896.5514045376885
33,Manila,Philippines,2690,2634,2719,Asia,77.30996499999999,85.546427,93.260798,208.5388932481446,260.9873230443725,332.0546077828365
34,Istanbul,Turkey,942,1494,1550,Asia,63.627862,68.143186,72.752325,625.3107973563094,781.2434043296591,912.795531850223
35,Ankara,Turkey,435,609,622,Asia,63.627862,68.143186,72.752325,625.3107973563094,781.2434043296591,912.795531850223
36,Rhine-Ruhr,Germany,2149,2320,2277,Europe,82.349027,82.540739,82.302465,2490.8136308451076,2565.9973532967006,2732.530581525656
37,Berlin,Germany,963,1031,998,Europe,82.349027,82.540739,82.302465,2490.8136308451076,2565.9973532967006,2732.530581525656
38,Johannesburg,South Africa,1732,2332,2453,Africa,44.76038,47.792787,50.132817,336.2038643500052,405.7572553822631,473.7724133922748
39,Pretoria,South Africa,1463,2272,2421,Africa,44.76038,47.792787,50.132817,336.2038643500052,405.7572553822631,473.7724133922748
40,Hanoi,Vietnam,2954,3087,3238,Asia,78.75801,83.161145,87.84844500000001,123.99280877419196,178.07479783871375,249.92344410750056
41,Bangkok,Thailand,1673,1858,2192,Asia,63.155029,66.698483,69.12223399999999,347.1536103626988,445.19504703591343,530.3670868449135
42,London,United Kingdom,3511,3333,3480,Europe,58.874117,60.202726999999996,62.03557,1742.5079045271157,1971.2527554921246,2004.6729970493316
43,Paris,France,2304,2521,2458,Europe,59.047795,60.996506000000004,62.787427,1718.2933631391527,1860.6996873989644,1923.4567058101813
44,Rome,Italy,762,814,980,Europe,56.986329,58.671206,60.550847999999995,1578.2477807125379,1649.4376304839336,1618.1343332536792
45,Bogota,Colombia,612,767,706,Americas,39.764165999999996,43.040558,46.294841,263.19376664841934,314.39215516136187,392.9319656512309
46,Madrid,Spain,745,638,1427,Europe,40.288457,43.395441,46.076989000000005,1011.7670706667714,1188.1023010529402,1241.1808508034314
47,Buenos Aires,Argentina,2687,2791,2793,Americas,36.930709,38.681174,40.412375999999995,379.7365322291021,419.04884740435705,580.4274305865966
48,Kiev,Ukraine,543,618,598,Europe,48.891792,46.923927000000006,45.448329,181.77548527931282,263.0068556313268,276.5484230127072
49,Kampala,Uganda,305,664,878,Africa,24.21312,28.431204,33.424682999999995,18.729947336939453,25.903142657988777,38.150724958789226
50,Algiers,Algeria,898,860,950,Africa,30.533827000000002,32.888449,35.468208,185.68866698842075,235.76296939985923,266.7489955430523
51,Khartoum,Sudan,611,834,876,Africa,34.187729,38.41032,43.551941,47.756919252972814,61.955397193283105,88.12522030382412
52,Warsaw,Poland,637,690,699,Europe,38.302444,38.16504,38.27666000000001,451.9605972744355,526.0786027801892,662.5675308389051
53,Rabat,Morocco,253,414,404,Africa,28.793236,30.392473000000003,31.951412,84.84132143097669,108.17120443340517,137.29319861913058
54,Riyadh,Saudi Arabia,737,847,833,Asia,20.045276,24.041116000000002,27.448086,407.34808294516665,490.57836714250635,559.2363116192045
55,Lima,Peru,821,784,757,Americas,25.861887,27.558769,29.076511999999997,143.35330734648463,176.0166245881356,248.75934295434868
56,Tashkent,Uzbekistan,923,1033,1093,Asia,24.77561,25.947414000000002,27.444702,40.23697082159706,52.35926437788477,78.64829417327228
57,Kuala Lumpur,Malaysia,580,1390,1472,Asia,23.414908999999998,26.100241,28.401017,239.03533058704048,301.3084201958691,375.28812665633484
58,Maputo,Mozambique,116,126,303,Africa,18.200656,20.770013,23.390765,9.211720050388193,13.906009355855705,19.76565994514302
59,Kathmandu,Nepal,407,734,790,Asia,24.400606,27.281945,29.959364,22.025413208081368,26.021817153342244,32.21794348738442
60,Accra,Ghana,564,812,889,Africa,19.165490000000002,21.639806,24.391823,20.445616306419794,26.141197001429596,35.96723260218319
61,Yaounde,Cameroon,195,218,303,Africa,15.678269,17.553589,19.598889,29.05565034777774,34.85683900259589,40.33633919768043
62,Colombo,Sri Lanka,1185,1063,1416,Asia,18.745084,19.842536,20.859949,57.409002261438616,69.74039081850974,95.01787973544018
63,Bucharest,Romania,435,469,544,Europe,22.191683,21.771749,21.486371,153.61117846980105,202.7205420609142,234.34902635574073
64,Ouagadougou,Burkina Faso,174,252,384,Africa,12.294012,14.198463,16.468714,10.649819706982568,14.297802800858992,18.55280683067076
65,Bamako,Mali,150,217,292,Africa,11.295324,13.176642,15.369809,8.571501100968232,11.655456275341853,14.677897111037344
66,Santiago,Chile,889,935,916,Americas,15.41982,16.301726000000002,17.113688,161.4363114086231,198.3655354659494,232.67598646703658
67,Lusaka,Zambia,150,185,243,Africa,10.201562,11.462365,13.088569999999999,10.495238938542261,13.26875889919377,18.111837393999384
68,Amsterdam,Netherlands,1353,1675,1700,Europe,15.862825,16.305457,16.612988,536.5430005713451,572.9006027022982,614.724900948884
69,Guatemala City,Guatemala,562,725,777,Americas,11.237101000000001,12.717154,14.388929000000001,44.49699565188581,51.651820181191354,61.759711046089826
