"","","city","corX","corY","country_x","2000_ls","2001_ls","2002_ls","2003_ls","2004_ls","2005_ls","2006_ls","2007_ls","2008_ls","2009_ls","2010_ls","2011_ls","2012_ls","2013_ls","2014_ls","2015_ls","2016_ls","2017_ls"
"1",0,"Beijing",116.4073963,39.9041999,"China",2189,2310,2332,2637,3334,3344,3558,3484,3494,3498,3485,3413,4377,4247,4277,4315,4337,4381
"2",1,"New Delhi",77.2090212,28.6139391,"India",2807,2448,2874,2888,3329,3213,3254,3273,3303,3466,3612,3420,3707,3726,3779,3892,4072,4318
"3",2,"Washington D.C.",-77.0368707,38.9071923,"United States",2050,2110,2212,2235,2256,2347,2348,2316,2302,2319,2341,2462,2460,2473,2505,2535,2570,2628
"4",3,"Jakarta",106.8283415,-6.180495,"Indonesia",4395,4706,4624,5116,5617,5423,5833,5859,5284,5335,5604,5813,5750,5735,5732,5748,6154,6185
"5",4,"Brasilia",-47.9218204,-15.826691,"Brazil",260,278,307,303,699,705,703,720,731,739,746,831,827,829,831,831,835,844
"6",5,"Mexico City",-99.133208,19.4326077,"Mexico",2545,2527,2654,2651,2664,2712,2717,2729,2733,2749,2712,2925,2971,2980,3067,3185,3198,3438
"7",6,"Tokyo",139.6917064,35.6894875,"Japan",6039,5991,5891,5883,6095,6356,6358,6410,6379,6393,6389,6408,6407,6534,6538,6536,6533,6537
"8",7,"Manila",120.9842195,14.5995124,"Philippines",2686,2615,2437,2458,2483,2628,2633,2635,2687,2700,2710,2763,2788,2913,3106,3026,3258,3580
"9",86,"Shanghai",121.473701,31.230416," China",1681,1758,1810,2163,2994,3002,3310,3241,3241,3241,3232,3221,4516,4417,4457,4493,4498,4469
"10",87,"Guangzhou",113.264385,23.12911," China",1800,1970,1954,2682,2986,3006,3929,3811,3809,3827,3806,3839,4763,4695,4726,4766,4788,4825
"11",88,"New York City",-74.0059728,40.7127753," United States",3447,3382,3435,3440,3454,3678,3725,3730,3733,3788,3720,3758,3775,3783,3805,3817,3785,3835
"12",89,"Shenzhen",114.057865,22.543096," China",1160,1236,1248,2239,2523,2567,3541,3453,3455,3476,3457,3467,3930,3874,3903,3917,3929,3987
