,city,country_x,corX,corY,radius,2000_ls,2005_ls,2010_ls,2015_ls,alpha-3,region
0,Beijing,China,116.4073963,39.9041999,0.5980261281917371,2202,3360,3503,4331,CHN,Asia
1,New Delhi,India,77.20902120000001,28.6139391,0.596441950234891,2817,3229,3634,3914,IND,Asia
2,Washington D.C.,United States,-77.03687070000001,38.9071923,0.5948535534062139,2053,2349,2343,2536,USA,Americas
3,Jakarta,Indonesia,106.82834150000001,-6.180495,0.593260903818885,4418,5452,5634,5781,IDN,Asia
4,Brasilia,Brazil,-47.921820399999994,-15.826691,0.5916639671299921,260,707,748,833,BRA,Americas
5,Mexico City,Mexico,-99.133208,19.4326077,0.590062708531898,2545,2712,2712,3185,MEX,Americas
6,Tokyo,Japan,139.69170640000002,35.6894875,0.588457092743388,6061,6385,6418,6562,JPN,Asia
7,Manila,Philippines,120.98421950000001,14.599512400000002,0.586847084000594,2690,2634,2719,3035,PHL,Asia
8,Shanghai, China,121.473701,31.230415999999998,0.596441950234891,1730,3058,3286,4584,,
9,Guangzhou, China,113.264385,23.12911,0.5948535534062139,1859,3103,3926,4927,,
10,New York City, United States,-74.0059728,40.7127753,0.593260903818885,3489,3730,3772,3874,,
11,Shenzhen, China,114.05786499999999,22.543096,0.5916639671299921,1180,2603,3502,3989,,
12,São Paulo, Brazil,-46.6333094,-23.550519899999998,0.590062708531898,1888,3033,3103,3340,,
13,Mumbai, India,72.87765590000001,19.0759837,0.588457092743388,1585,1910,1754,1889,,
14,Keihanshin (Kyoto-Osaka-Kobe), Japan,135.5022535,34.6937249,0.586847084000594,3032,3205,3207,3561,,
15,Wuhan, China,114.305539,30.592848999999998,0.5852326460477061,1348,1828,1991,2005,,
16,Los Angeles, United States,-118.24368490000002,34.0522342,0.583613742127445,4070,4536,4607,4662,,
17,Chengdu, China,104.066801,30.572815000000002,0.581990334971295,1442,1849,1882,2546,,
18,Chongqing, China,106.912251,29.431586100000004,0.5803623867894949,1086,1250,1282,1490,,
19,Tianjin, China,117.3616476,39.343357399999995,0.578729859260778,1459,1883,1865,2289,,
