,city,sleuth2050,initial
0,Beijing,8915.95,4367.0
1,New Delhi,4101.17,3725.0
2,Washington D.C.,2817.07,2601.0
3,Jakarta,8791.94,5810.0
4,Brasilia,5941.03,853.0
5,Mexico City,3095.19,3000.0
6,Tokyo,7161.64,6871.0
7,Manila,3014.91,2821.0
8,Shanghai,8798.92,4439.0
9,Guangzhou,12294.69,4654.0
10,New York City,4070.06,3869.0
11,Shenzhen,9670.15,3870.0
12,São Paulo,11935.03,3358.0
13,Mumbai,1864.04,1796.0
14,Keihanshin (Kyoto-Osaka-Kobe),3592.91,3500.0
15,Wuhan,3266.89,1947.0
16,Los Angeles,5328.96,4654.0
17,Chengdu,4427.08,2526.0
18,Chongqing,1460.5,1417.0
19,Tianjin,2998.57,2200.0
20,Istanbul,4188.83,1656.0
21,Kolkata,5679.39,5177.0
22,Hangzhou,2573.08,2410.0
23,Surabaya,3075.05,2844.0
24,Xi'an,1821.71,1711.0
25,Bangalore,2045.63,1956.0
26,Changzhou,3220.52,2914.0
27,Rio de Janeiro,2226.77,2139.0
28,Shantou,5119.11,2698.0
29,Nanjing,2079.93,1979.0
30,Rhine-Ruhr,2149.37,2089.0
31,Jinan,1650.06,1540.0
32,Chennai,1275.2,1180.0
33,Harbin,2608.92,995.0
34,Chicago,3063.79,2756.0
35,Zhengzhou,2203.81,2081.0
36,Johannesburg,6099.38,2716.0
37,Hanoi,3354.59,2945.0
38,Berlin,974.0,974.0
39,Ankara,2961.2,738.0
40,Bangkok,4054.73,2518.0
41,London,3702.73,3415.0
42,Paris,2566.91,2440.0
43,Rome,1096.3,1005.0
44,Pretoria,5787.6,2428.0
45,Bogota,701.68,691.0
46,Madrid,1585.46,1496.0
47,Buenos Aires,4490.35,2773.0
48,Kiev,580.0,580.0
49,Kampala,3969.04,844.0
50,Algiers,1002.35,939.0
51,Khartoum,1923.1,1069.0
52,Warsaw,881.7,737.0
53,Rabat,389.3,354.0
54,Riyadh,896.16,845.0
55,Lima,909.84,899.0
56,Tashkent,1195.28,1087.0
57,Kuala Lumpur,6596.19,1524.0
58,Maputo,1568.87,316.0
59,Kathmandu,1331.23,798.0
60,Accra,1941.89,918.0
61,Yaounde,349.49,315.0
62,Colombo,1581.79,1404.0
63,Bucharest,556.53,441.0
64,Ouagadougou,2803.93,440.0
65,Bamako,1394.56,320.0
66,Santiago,968.04,932.0
67,Lusaka,287.74,257.0
68,Amsterdam,1934.66,1646.0
69,Guatemala City,765.77,753.0
70,Quito,479.9,469.0
71,Dakar,286.26,263.0
72,Conakry,244.07,209.0
73,Tunis,642.3,591.0
74,Brussels,992.69,987.0
75,Porto Novo,1573.81,767.0
76,Athens,642.02,631.0
77,La Paz,197.52,181.0
78,Port au Prince,673.08,657.0
79,Santo Domingo,605.19,551.0
80,Prague,519.75,492.0
81,Lisbon,860.37,819.0
82,Stockholm,509.13,471.0
83,Baku,446.89,421.0
84,Budapest,839.83,762.0
85,Amman,1038.64,689.0
86,Minsk,364.93,334.0
87,Abu Dhabi,180.59,176.0
88,Belgrade,310.0,310.0
89,Vienna,510.56,508.0
90,Bern,351.17,309.0
91,Tel Aviv1,993.36,936.0
92,Lome,3713.38,525.0
93,Sofia,342.0,342.0
94,Asuncion,1569.84,612.0
95,San Salvador,686.97,652.0
96,Managua,308.24,289.0
97,Beirut,510.31,494.0
98,Copenhagen,714.96,640.0
99,Singapore,2209.84,898.0
100,Helsinki,389.89,370.0
101,Oslo,321.03,301.0
102,San Jose,1554.13,1422.0
103,Dublin,622.15,579.0
104,Zagreb,265.0,265.0
105,Tbilisi,243.0,243.0
106,Montevideo,368.0,368.0
107,Ulaanbaatar,204.84,194.0
108,Yerevan,285.5,271.0
109,Kingston,4035.1,3161.0
110,Ljubljana,145.0,145.0
111,Riga,205.0,205.0
112,Tallinn,137.0,137.0
113,Georgetown,1849.48,1714.0
