,city,corX,corY,country_x
0,Beijing,116.4073963,39.9041999,China
1,New Delhi,77.20902120000002,28.6139391,India
2,Washington D.C.,-77.03687070000002,38.9071923,United States
3,Jakarta,106.82834150000001,-6.180495,Indonesia
4,Brasilia,-47.921820399999994,-15.826691,Brazil
5,Mexico City,-99.133208,19.4326077,Mexico
6,Tokyo,139.69170640000002,35.6894875,Japan
7,Manila,120.98421950000001,14.599512400000002,Philippines
86,Shanghai,121.473701,31.230415999999998, China
87,Guangzhou,113.264385,23.12911, China
88,New York City,-74.0059728,40.7127753, United States
89,Shenzhen,114.05786499999999,22.543096, China
90,São Paulo,-46.63330939999999,-23.550519899999998, Brazil
91,Mumbai,72.87765590000002,19.0759837, India
92,Keihanshin (Kyoto-Osaka-Kobe),135.5022535,34.6937249, Japan
93,Wuhan,114.305539,30.592848999999998, China
94,Los Angeles,-118.24368490000002,34.0522342, United States
95,Chengdu,104.066801,30.572815000000002, China
96,Chongqing,106.912251,29.431586100000004, China
97,Tianjin,117.3616476,39.343357399999995, China
98,Istanbul,28.978358899999996,41.0082376, Turkey
99,Kolkata,88.36389500000001,22.572646, India
100,Hangzhou,120.15507,30.274084000000002, China
101,Surabaya,112.7520883,-7.2574719, Indonesia
102,Xi'an,108.93977,34.341574, China
103,Bangalore,77.5945627,12.9715987, India
104,Changzhou,119.974061,31.811226, China
105,Rio de Janeiro,-43.1728965,-22.9068467, Brazil
106,Shantou,116.681972,23.354091, China
107,Nanjing,118.796877,32.060255, China
108,Rhine-Ruhr,7.557818099999999,51.418754, Germany
109,Jinan,117.12009499999999,36.6512, China
110,Chennai,80.2707184,13.0826802, India
111,Harbin,126.534967,45.80377499999999, China
112,Chicago,-87.62979820000002,41.8781136, United States
113,Zhengzhou,113.625328,34.746611, China
114,Johannesburg,28.04730510000001,-26.2041028, South Africa
8,Hanoi,105.8341598,21.0277644,Vietnam
9,Berlin,13.404954,52.5200066,Germany
10,Ankara,32.859741899999996,39.9333635,Turkey
