,city,country_x,2000_ls,2005_ls,2010_ls,2015_ls,region,p2000,p2005,p2010,p2015,g2000,g2005,g2010,g2015
0,Beijing,China,2202,3360,3503,4331,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
1,Shanghai,China,1730,3058,3286,4584,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
2,Guangzhou,China,1859,3103,3926,4927,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
3,Shenzhen,China,1180,2603,3502,3989,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
4,Wuhan,China,1348,1828,1991,2005,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
5,Chengdu,China,1442,1849,1882,2546,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
6,Chongqing,China,1086,1250,1282,1490,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
7,Tianjin,China,1459,1883,1865,2289,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
8,Hangzhou,China,1712,1842,1945,2551,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
9,Xi'an,China,1417,1524,1421,1698,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
10,Changzhou,China,2244,2398,2340,3093,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
11,Shantou,China,1483,2261,2628,2682,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
12,Nanjing,China,1595,1851,1779,2034,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
13,Jinan,China,1213,1346,1379,1580,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
14,Harbin,China,642,900,847,1026,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
15,Zhengzhou,China,1201,1728,1707,2180,Asia,1269.116737,1307.593489,1341.3351520000015,1361.9086261498321,3368.06687910723,5364.250894569498,9121.348,13866.733199999999
16,New Delhi,India,2817,3229,3634,3914,Asia,1053.898107,1140.042863,1224.6143269999998,1304.5320633603312,1797.3755385528884,2517.2815954497214,3653.102,5003.9294
17,Mumbai,India,1585,1910,1754,1889,Asia,1053.898107,1140.042863,1224.6143269999998,1304.5320633603312,1797.3755385528884,2517.2815954497214,3653.102,5003.9294
18,Kolkata,India,4943,5072,5396,5440,Asia,1053.898107,1140.042863,1224.6143269999998,1304.5320633603312,1797.3755385528884,2517.2815954497214,3653.102,5003.9294
19,Bangalore,India,1310,1841,1957,2024,Asia,1053.898107,1140.042863,1224.6143269999998,1304.5320633603312,1797.3755385528884,2517.2815954497214,3653.102,5003.9294
20,Chennai,India,1140,1051,1105,1241,Asia,1053.898107,1140.042863,1224.6143269999998,1304.5320633603312,1797.3755385528884,2517.2815954497214,3653.102,5003.9294
21,Washington D.C.,United States,2053,2349,2343,2536,Americas,282.49631,296.820296,310.383948,322.7846041223496,11167.7,12579.7,13087.12,14752.5052
22,New York City,United States,3489,3730,3772,3874,Americas,282.49631,296.820296,310.383948,322.7846041223496,11167.7,12579.7,13087.12,14752.5052
23,Los Angeles,United States,4070,4536,4607,4662,Americas,282.49631,296.820296,310.383948,322.7846041223496,11167.7,12579.7,13087.12,14752.5052
24,Chicago,United States,2358,2618,2573,2584,Americas,282.49631,296.820296,310.383948,322.7846041223496,11167.7,12579.7,13087.12,14752.5052
25,Jakarta,Indonesia,4418,5452,5634,5781,Asia,213.395411,227.30317499999998,239.8709370151422,250.9513311787476,559.7442176464306,705.158950677719,929.865,1264.5423999999998
26,Surabaya,Indonesia,2460,2855,2985,3039,Asia,213.395411,227.30317499999998,239.8709370151422,250.9513311787476,559.7442176464306,705.158950677719,929.865,1264.5423999999998
27,Brasilia,Brazil,260,707,748,833,Americas,174.425387,185.986964,194.94646999999998,202.84795126937547,1379.5488413706855,1582.642363388722,1967.541,2309.9322
28,São Paulo,Brazil,1888,3033,3103,3340,Americas,174.425387,185.986964,194.94646999999998,202.84795126937547,1379.5488413706855,1582.642363388722,1967.541,2309.9322
29,Rio de Janeiro,Brazil,2005,2025,2032,2104,Americas,174.425387,185.986964,194.94646999999998,202.84795126937547,1379.5488413706855,1582.642363388722,1967.541,2309.9322
30,Mexico City,Mexico,2545,2712,2712,3185,Americas,99.959594,106.483757,113.42304699249158,119.69673316602416,1184.7930379032925,1298.1502773108532,1409.686,1670.8883999999998
31,Tokyo,Japan,6061,6385,6418,6562,Asia,125.72031,126.392944,126.53592001621917,126.10571570671546,3630.1067181661324,3872.843144471024,3899.299,4122.897800000001
32,Keihanshin (Kyoto-Osaka-Kobe),Japan,3032,3205,3207,3561,Asia,125.72031,126.392944,126.53592001621917,126.10571570671546,3630.1067181661324,3872.843144471024,3899.299,4122.897800000001
33,Manila,Philippines,2690,2634,2719,3035,Asia,77.30996499999999,85.546427,93.26079800000007,101.2954367302399,208.5388932481446,260.9873230443725,332.055,416.6022
34,Istanbul,Turkey,942,1494,1550,1700,Asia,63.627862,68.143186,72.75232499999997,76.97897605639764,625.3107973563094,781.2434043296591,912.432,1144.5256000000002
