,,city,country_x,corX,corY,radius,2000_ls,2005_ls,2010_ls
1,0,Beijing,China,116.4073963,39.9041999,0.598026128,2202,3360,3503
2,1,New Delhi,India,77.2090212,28.6139391,0.59644195,2817,3229,3634
3,2,Washington D.C.,United States,-77.0368707,38.9071923,0.594853553,2053,2349,2343
4,3,Jakarta,Indonesia,106.8283415,-6.180495,0.593260904,4418,5452,5634
5,4,Brasilia,Brazil,-47.9218204,-15.826691,0.591663967,260,707,748
6,5,Mexico City,Mexico,-99.133208,19.4326077,0.590062709,2545,2712,2712
7,6,Tokyo,Japan,139.6917064,35.6894875,0.588457093,6061,6385,6418
8,7,Manila,Philippines,120.9842195,14.5995124,0.586847084,2690,2634,2719
9,8,Shanghai,China,121.473701,31.230416,0.59644195,1730,3058,3286
10,9,Guangzhou,China,113.264385,23.12911,0.594853553,1859,3103,3926
11,10,New York City,United States,-74.0059728,40.7127753,0.593260904,3489,3730,3772
12,11,Shenzhen,China,114.057865,22.543096,0.591663967,1180,2603,3502
13,12,São Paulo,Brazil,-46.6333094,-23.5505199,0.590062709,1888,3033,3103
14,13,Mumbai,India,72.8776559,19.0759837,0.588457093,1585,1910,1754
15,14,Keihanshin (Kyoto-Osaka-Kobe),Japan,135.5022535,34.6937249,0.586847084,3032,3205,3207
16,15,Wuhan,China,114.305539,30.592849,0.585232646,1348,1828,1991
17,16,Los Angeles,United States,-118.2436849,34.0522342,0.583613742,4070,4536,4607
18,17,Chengdu,China,104.066801,30.572815,0.581990335,1442,1849,1882
19,18,Chongqing,China,106.912251,29.4315861,0.580362387,1086,1250,1282
20,19,Tianjin,China,117.3616476,39.3433574,0.578729859,1459,1883,1865
21,20,Istanbul,Turkey,28.9783589,41.0082376,0.577092714,942,1494,1550
22,21,Kolkata,India,88.363895,22.572646,0.57545091,4943,5072,5396
23,22,Hangzhou,China,120.15507,30.274084,0.573804409,1712,1842,1945
24,23,Surabaya,Indonesia,112.7520883,-7.2574719,0.57215317,2460,2855,2985
25,24,Xi'an,China,108.93977,34.341574,0.570497152,1417,1524,1421
26,25,Bangalore,India,77.5945627,12.9715987,0.568836312,1310,1841,1957
27,26,Changzhou,China,119.974061,31.811226,0.567170609,2244,2398,2340
28,27,Rio de Janeiro,Brazil,-43.1728965,-22.9068467,0.5655,2005,2025,2032
29,28,Shantou,China,116.681972,23.354091,0.563824441,1483,2261,2628
30,29,Nanjing,China,118.796877,32.060255,0.562143887,1595,1851,1779
31,30,Rhine-Ruhr,Germany,7.5578181,51.418754,0.560458295,2149,2320,2277
32,31,Jinan,China,117.120095,36.6512,0.558767617,1213,1346,1379
33,32,Chennai,India,80.2707184,13.0826802,0.557071809,1140,1051,1105
34,33,Harbin,China,126.534967,45.803775,0.555370822,642,900,847
35,34,Chicago,United States,-87.6297982,41.8781136,0.55366461,2358,2618,2573
36,35,Zhengzhou,China,113.625328,34.746611,0.551953123,1201,1728,1707
37,36,Johannesburg,South Africa,28.0473051,-26.2041028,0.550236313,1732,2332,2453
38,37,Hanoi,Vietnam,105.8341598,21.0277644,0.585232646,2954,3087,3238
39,38,Berlin,Germany,13.404954,52.5200066,0.583613742,963,1031,998
40,39,Ankara,Turkey,32.8597419,39.9333635,0.581990335,435,609,622
41,40,Bangkok,Thailand,100.5017651,13.7563309,0.580362387,1673,1858,2192
42,41,London,United Kingdom,-0.1277583,51.5073509,0.578729859,3511,3333,3480
43,42,Paris,France,2.3522219,48.856614,0.577092714,2304,2521,2458
44,43,Rome,Italy,12.4963655,41.9027835,0.57545091,762,814,980
45,44,Pretoria,South Africa,28.2292712,-25.7478676,0.573804409,1463,2272,2421
46,45,Bogota,Colombia,-74.072092,4.7109886,0.57215317,612,767,706
47,46,Madrid,Spain,-3.7037902,40.4167754,0.570497152,745,638,1427
48,47,Buenos Aires,Argentina,-58.3815591,-34.6036844,0.568836312,2687,2791,2793
49,48,Kiev,Ukraine,30.5234,50.4501,0.567170609,543,618,598
50,49,Kampala,Uganda,32.5825197,0.3475964,0.5655,305,664,878
51,50,Algiers,Algeria,3.0587561,36.753768,0.563824441,898,860,950
