"","","city","country_x","corX","corY","radius","1999_ls","2000_ls","2001_ls","2002_ls","2003_ls","2004_ls","2005_ls","2006_ls","2007_ls","2008_ls","2009_ls","2010_ls","2011_ls","2012_ls","2013_ls","2014_ls","2015_ls","2016_ls","2017_ls"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,2202,2202,2324,2345,2650,3350,3360,3575,3502,3512,3516,3503,3429,4393,4263,4293,4331,4353,4397
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,2817,2817,2460,2885,2899,3345,3229,3271,3290,3320,3485,3634,3438,3729,3748,3801,3914,4094,4340
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,2053,2053,2112,2214,2237,2258,2349,2350,2318,2304,2321,2343,2463,2461,2474,2506,2536,2575,2633
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,4418,4418,4728,4641,5133,5649,5452,5851,5877,5306,5357,5634,5846,5783,5768,5765,5781,6185,6216
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,260,260,278,308,304,701,707,705,722,733,741,748,833,829,831,833,833,837,846
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,2545,2545,2527,2654,2651,2664,2712,2717,2729,2733,2749,2712,2925,2971,2980,3067,3185,3198,3438
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,6061,6061,6009,5910,5905,6115,6385,6387,6439,6408,6422,6418,6436,6435,6560,6564,6562,6558,6562
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,2690,2690,2619,2443,2464,2489,2634,2641,2643,2696,2709,2719,2772,2797,2922,3115,3035,3267,3587
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,1730,1730,1805,1857,2210,3050,3058,3365,3295,3295,3295,3286,3280,4605,4503,4545,4584,4589,4556
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,1859,1859,2032,2021,2773,3082,3103,4051,3929,3927,3947,3926,3959,4923,4855,4886,4927,4947,4983
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,3489,3489,3422,3475,3481,3495,3730,3777,3782,3786,3841,3772,3814,3832,3840,3862,3874,3841,3892
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,1180,1180,1259,1269,2270,2557,2603,3587,3497,3499,3520,3502,3513,3998,3941,3975,3989,4002,4059
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,1888,1888,2217,2303,2316,3036,3033,3033,3042,3077,3095,3103,3338,3320,3334,3332,3340,3347,3370
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,1585,1585,1865,1832,1838,1899,1910,1940,1866,1870,1748,1754,1761,1845,1851,1864,1889,1943,1895
"15",14,"Keihanshin (Kyoto-Osaka-Kobe)"," Japan",135.5022535,34.6937249,0.586847084000594,3032,3032,2996,2947,2912,2988,3205,3206,3209,3204,3208,3207,3199,3199,3561,3561,3561,3561,3560
"16",15,"Wuhan"," China",114.305539,30.592849,0.585232646047706,1348,1348,1534,1572,1610,1826,1828,2032,1999,2001,2002,1991,2007,1999,1976,1990,2005,2009,2013
