"","","city","country_x","corX","corY","radius","2000_ls_pop","2001_ls_pop","2002_ls_pop","2003_ls_pop","2004_ls_pop","2005_ls_pop","2006_ls_pop","2007_ls_pop","2008_ls_pop","2009_ls_pop","2010_ls_pop","2011_ls_pop","2012_ls_pop","2013_ls_pop","2014_ls_pop","2015_ls_pop","2016_ls_pop","2017_ls_pop"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,13801990,13870844,13923729,15942812,16138920,16231388,16351420,16467469,16577032,16683854,16589173,16660683,21989383,22118536,22209190,22392879,22499604,22611329
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,25407934,23552829,26660876,27060534,27629383,27630462,28414644,28891735,29351770,29954301,30414193,30916835,33013667,33441522,33904080,34343703,34804876,35387767
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,6615321,6632837,6864526,6921479,6975988,7053314,7120030,7134168,7186006,7478532,7560019,7765989,7726124,7786478,7879187,7950523,8124293,8248185
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,23776077,24998116,25552837,26056529,26574829,26954954,27383578,27723034,28104596,28432238,28757069,30509031,30882691,31182732,31447425,31747726,32076643,32358370
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,2060962,2504210,2768320,2801100,2869590,2910152,2940742,2971249,3070269,3107657,3144633,3512163,3441277,3470393,3498287,3525797,3552773,3579662
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,21461912,22386397,22804795,22875340,23149199,23423865,23698921,23974905,24252348,24529890,24833092,24152285,24414518,24678994,25545404,25393126,25691180,25994970
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,33535678,33561143,34298882,34246814,33900643,33891922,33906093,34694503,34747240,34690668,34615775,35915879,35888941,35868509,35826300,35774513,35713134,35641758
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,21453482,21885578,22423831,22862445,23286446,23732300,24181700,24613899,25967500,26482489,26997268,27525178,28053711,28602919,29135757,27316577,30073409,30429680
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,17678304,17812451,17928238,19936630,20146162,20261991,20394609,20525445,20653014,20786046,20652989,20719981,27424580,27564370,27692569,27933232,28056961,28226943
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,13975944,14046923,14211823,23516058,23702060,23838414,23624274,23862790,24014891,24227747,24073661,24248601,30529400,30622702,30753033,31009664,31071597,31242633
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,15984457,16190502,16393974,16406531,16455445,16526255,16590954,16587026,16725040,17477186,16950971,17012682,17019752,17050495,17192066,17278319,17471563,17714579
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,12975844,13248054,13496036,24886161,24492802,24639405,24923886,25105006,25346893,25512090,25417767,25553960,30785292,30932958,30977002,31209668,31370280,31466290
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,18696122,20975350,21651507,21900440,22204450,22450370,22689255,22922385,23686212,23975368,24260609,24318167,23826989,24028775,24256123,24449320,24636392,24817314
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,20747690,19100681,20555871,20908686,21241062,21666771,22345954,22682566,23043306,23479650,23816283,24096876,24140748,24429260,24724096,25052467,25360556,25698257
"15",14,"Keihanshin (Kyoto-Osaka-Kobe)"," Japan",135.5022535,34.6937249,0.586847084000594,17414154,17238537,17514862,17418296,17428723,17703155,17708837,17611716,17734898,17707106,17668900,17775943,17762421,17752932,17732052,17706416,17676075,17642703
"16",15,"Wuhan"," China",114.305539,30.592849,0.585232646047706,11770576,11925041,11935443,12826422,12887617,12961620,13106104,13222388,13307884,13394233,13320991,13385675,13799452,13882365,13942247,14063497,14125856,14162174
"17",16,"Los Angeles"," United States",-118.2436849,34.0522342,0.583613742127445,12344397,12393463,12783561,12873413,12976620,12987267,13016778,12950636,12947181,13467185,13162288,13217863,13123619,13159745,13273156,13361021,13369560,13486439
"18",17,"Chengdu"," China",104.066801,30.572815,0.581990334971295,14153955,14216540,14300607,15185663,15337849,15425720,15586764,15710917,15834846,15937807,15853752,15750016,17460155,17539493,17623934,17778181,17856668,17938472
"19",18,"Chongqing"," China",106.912251,29.4315861,0.580362386789495,9550953,9330267,9292874,9686796,9761484,9785208,9923801,10000107,10081509,10153165,10107261,10154662,10386105,10430307,10476103,10566192,10613123,10650480
"20",19,"Tianjin"," China",117.3616476,39.3433574,0.578729859260778,10487344,10658782,10714742,10890351,10829604,10891834,10750939,10822354,10886420,10956519,10915952,10967776,12896688,12994691,13026403,13141133,13199210,13334894
"21",20,"Istanbul"," Turkey",28.9783589,41.0082376,0.57709271352184,8937491,9084560,10458116,10576169,10733409,10852394,10966556,11082533,11198416,11962965,12118320,12271198,12430845,12675105,12659977,12740325,12282558,12322573
"22",21,"Kolkata"," India",88.363895,22.572646,0.575450910156548,29064090,31642883,30259568,30715219,31124912,31925554,33072340,33565065,34094158,35127974,35471009,36284574,34302855,34767981,35211005,35655218,36076166,36535676
"23",22,"Hangzhou"," China",120.15507,30.274084,0.573804409184872,9835792,10036223,10172991,11027521,11133630,11197488,11237926,11290229,11371089,11444231,11365322,11424666,13636241,13713597,13774979,13895218,13956886,14074381
"24",23,"Surabaya"," Indonesia",112.7520883,-7.2574719,0.572153170051517,12307343,14107955,14172415,13335317,13555884,13759195,13752727,13923157,13569468,13747055,13901540,13144882,13305269,13439825,13569248,13790083,13913244,14043826
"25",24,"Xi'an"," China",108.93977,34.341574,0.570497151614274,10603625,10651877,10666522,11124123,11269292,11334000,11412393,11487979,11564197,11641387,11571739,11603216,12081490,12143297,12197404,12308648,12363113,12422100
"26",25,"Bangalore"," India",77.5945627,12.9715987,0.568836312132058,12338149,11642482,11974440,12153340,12250398,12479805,12850764,13060992,13267936,13429215,13578283,13786786,15534304,15720378,15918232,16116566,16312192,16521813
"27",26,"Changzhou"," China",119.974061,31.811226,0.56717060925263,13303295,13333387,13451255,14155517,14284407,14366640,14401639,14497651,14585970,14679329,14577871,14616900,16521454,16601400,16675728,16821312,16895760,16936265
"28",27,"Rio de Janeiro"," Brazil",-43.1728965,-22.9068467,0.5655,10959253,11792376,12038233,12179791,12314986,12447761,12580640,12709835,13133428,13293755,13451916,13175226,12908982,13018322,13122877,13226709,13327957,13424217
"29",28,"Shantou"," China",116.681972,23.354091,0.563824440761484,10203891,10231513,10286870,11573487,11712038,11779365,11962614,12062933,12146405,12224647,12160189,12256534,13019607,13116302,13176830,13291414,13350273,13419828
"30",29,"Nanjing"," China",118.796877,32.060255,0.562143887274424,8923344,9004799,9055468,9907123,10000160,10057607,10109833,10176762,10241905,10308037,10244606,10305591,11759331,11826611,11876746,11979918,12032827,12071210
"31",30,"Rhine-Ruhr"," Germany",7.5578181,51.418754,0.560458294612543,7705149,6956018,6901953,6905034,6860071,6871934,6875020,6878876,6876279,6873379,6871409,6806704,6627542,6602770,6592734,6579864,6569070,6558494
"32",31,"Jinan"," China",117.120095,36.6512,0.558767617171933,9135453,9008319,9025741,9125361,9145090,9197678,9258792,9341692,9399093,9459561,9424961,9434883,9988932,10051628,10143054,10230268,10307661,10334227
"33",32,"Chennai"," India",80.2707184,13.0826802,0.557071808656658,10661646,9754714,9299419,9439392,9547785,9721054,10115917,10281057,10444336,10571855,10730979,10865467,11474676,11623710,11772286,11918225,12063746,12217635
"34",33,"Harbin"," China",126.534967,45.803775,0.555370822063961,5893995,5931454,5916647,5933351,5973627,6007674,6053046,6101052,6140113,6179619,6167930,6199424,7043146,7099463,7127563,7193046,7224789,7236738
"35",34,"Chicago"," United States",-87.6297982,41.8781136,0.553664609669067,7664839,7667874,7764871,7772092,7785455,7815431,7831294,7820019,7839678,8138240,7888068,7906694,7869774,7876846,7885794,7873423,7856835,7913525
"36",35,"Zhengzhou"," China",113.625328,34.746611,0.551953123009554,9864080,10112332,10184646,10981438,11072473,11136205,11172955,11244416,11312587,11385494,11315485,11357561,12829342,12886590,12946595,13059218,13117034,13265831
"37",36,"Johannesburg"," South Africa",28.0473051,-26.2041028,0.550236312869298,7450423,7282781,7201160,7209991,8793577,8626594,8590479,8553588,9483704,9534319,9545320,9510914,10759836,10719209,10666820,11838595,12166034,12204936
"38",37,"Hanoi","Vietnam",105.8341598,21.0277644,0.585232646047706,14367740,14737912,14976164,15180579,15331030,15457045,15619017,15778159,15930351,16220873,16361442,16535644,16830354,17006586,17191825,17362249,17670224,17840581
"39",38,"Berlin","Germany",13.404954,52.5200066,0.583613742127445,3730974,4534753,4486195,4488299,4494841,4502153,4518442,4516523,4514957,4507158,4506612,4464271,4640339,4628132,4621715,4565846,4564810,4565278
"40",39,"Ankara","Turkey",32.8597419,39.9333635,0.581990334971295,3367478,3442120,3593949,3700977,3762991,3804831,3846112,3886492,3927257,4195599,4250475,4304063,4362029,4413735,4392027,4482661,4319291,4333460
"41",40,"Bangkok","Thailand",100.5017651,13.7563309,0.580362386789495,10974557,11562354,11921003,12037045,12136473,12002469,12117587,12275918,12356194,12451429,12657297,12587258,16511544,16602405,16679955,16741183,16796454,16847206
"42",41,"London","United Kingdom",-0.1277583,51.5073509,0.578729859260778,11229955,11210275,11175082,11518268,11640867,11595713,11641827,11672247,11703987,11718668,12264532,12332555,12686178,12756574,12825009,12908424,12977229,13405253
"43",42,"Paris","France",2.3522219,48.856614,0.57709271352184,11317584,11258122,11329093,11373271,11421031,11406777,11346514,11517151,11607867,11669204,11769842,11825785,11882284,11960866,12014952,12059601,12110063,12104721
"44",43,"Rome","Italy",12.4963655,41.9027835,0.575450910156548,4296884,4316849,4319012,4321804,4254956,4251469,4253672,4255170,4256457,4254545,4534033,4763113,4683466,4700153,4715280,4726185,4738017,4747259
"45",44,"Pretoria","South Africa",28.2292712,-25.7478676,0.573804409184872,6136732,6606239,6741994,6747325,8577952,8458312,8412481,8376433,9287271,9337901,9348747,9277164,10600989,10567894,10516010,11673454,12077375,12192978
"46",45,"Bogota","Colombia",-74.072092,4.7109886,0.572153170051517,7469493,7438100,7884772,8011592,8423942,8547703,8674053,9395387,9529575,9246722,9358521,9468661,9577369,9684611,10116988,10224420,10330370,10434877
"47",46,"Madrid","Spain",-3.7037902,40.4167754,0.570497151614274,5411343,5456235,5479551,5692391,5698697,5679701,5663060,5670903,5676429,5685235,6526411,6562956,6873003,6920066,6971614,7013858,7068485,7118235
"48",47,"Buenos Aires","Argentina",-58.3815591,-34.6036844,0.568836312132058,11532611,13651440,14177609,13514969,13677392,13813035,13946885,14079682,14142636,14293166,14443071,14590265,14737940,15381844,15529179,15544207,15707937,15928709
"49",48,"Kiev","Ukraine",30.5234,50.4501,0.56717060925263,3260494,3316560,3267686,3246452,3238008,3194868,3186217,3264974,3281632,3267031,3246895,3228722,3232009,3212299,3687654,3693419,3675981,3662856
"50",49,"Kampala","Uganda",32.5825197,0.3475964,0.5655,3753920,3855376,3882716,3918532,4081216,4229994,4530541,4774238,4948962,5401525,5573211,5774024,5773023,5799193,5992384,6380801,6594194,6842545
"51",50,"Algiers","Algeria",3.0587561,36.753768,0.563824440761484,5139381,4892630,5183651,5270881,5191704,5245474,5310145,5142304,5209616,5259047,5319697,5383116,5747461,5856566,5967652,6079318,6190118,6298355
"52",51,"Khartoum","Sudan",32.5598994,15.5006544,0.562143887274424,5394909,5389648,5551065,5710466,5866206,5995367,6161553,5884348,6010076,6130719,6221808,6413292,6160439,6271590,6323981,6489707,6610614,6665274
"53",52,"Warsaw","Poland",21.0122287,52.2296756,0.560458294612543,2872143,2882813,2885065,2950484,2968399,2919870,2869561,3079606,3074438,3074070,3072521,3070772,3164633,3162048,3158658,3175157,3252646,3245128
"54",53,"Rabat","Morocco",-6.8498129,33.9715904,0.558767617171933,3155597,3144529,3181049,3234468,3321886,3681682,3739417,3797378,3863954,3514308,3560517,3598862,3631485,3669954,3636457,3678345,3718722,3716698
"55",54,"Riyadh","Saudi Arabia",46.6752957,24.7135517,0.557071808656658,4270447,4276379,4561142,4696298,4868562,5300218,5411918,5556776,5669273,5775943,5182928,5265068,5529972,5602164,5535260,5525859,5587366,5601360
"56",55,"Lima","Peru",-77.042754,-12.0463731,0.555370822063961,7911783,8075198,8215024,8350360,8103952,8217665,8573528,8686243,8851054,8968278,9077531,9173965,9273970,9368082,9469513,9561746,9670734,9763964
"57",56,"Tashkent","Uzbekistan",69.2400734,41.2994958,0.553664609669067,4802705,4321716,4406809,4487511,4508086,4581022,4718540,4769292,4698791,4758362,4803629,4923639,4969428,4519817,4556303,4556061,4613579,4663201
"58",57,"Kuala Lumpur","Malaysia",101.686855,3.139003,0.551953123009554,4816035,4908713,5829464,5932607,6128506,6258393,6410757,6681585,6539498,6653779,7315918,7433359,8248800,8375564,8501050,8621751,8746636,8790885
