,city,sl_2016,sl_2017,sl_2018,sl_2019,sl_2020,sl_2021,sl_2022,sl_2023,sl_2024,sl_2025,sl_2026,sl_2027,sl_2028,sl_2029,sl_2030,sl_2031,sl_2032,sl_2033,sl_2034,sl_2035,sl_2036,sl_2037,sl_2038,sl_2039,sl_2040,sl_2041,sl_2042,sl_2043,sl_2044,sl_2045,sl_2046,sl_2047,sl_2048,sl_2049,sl_2050
0,Beijing,4990.48,5091.16,5192.83,5301.87,5411.09,5526.04,5633.53,5746.02,5864.35,5990.02,6118.23,6248.17,6382.58,6505.13,6633.06,6759.48,6888.12,7017.49,7144.12,7271.41,7399.69,7525.17,7650.22,7773.21,7897.81,8011.58,8124.97,8239.42,8347.61,8459.18,8563.72,8669.55,8771.62,8868.87,8970.53
1,New Delhi,3801.71,3810.51,3819.82,3828.77,3838.3,3846.55,3854.35,3862.63,3870.86,3879.25,3887.97,3896.46,3905.28,3914.57,3923.47,3932.44,3940.45,3948.95,3958.64,3968.1,3978.49,3987.78,4004.44,4013.91,4028.07,4033.35,4042.48,4052.04,4061.91,4072.25,4082.04,4091.52,4101.16,4111.89,4127.1
2,Washington D.C.,2637.81,2642.48,2647.46,2652.59,2657.25,2662.18,2666.97,2672.07,2677.05,2682.52,2687.45,2692.75,2698.17,2703.22,2708.48,2713.92,2719.34,2724.52,2730.08,2735.05,2740.5,2746.09,2751.7,2757.17,2762.48,2768.11,2773.71,2779.4,2785.23,2790.76,2795.91,2801.8,2807.73,2813.27,2818.85
3,Jakarta,6774.34,6863.07,6947.23,7026.8,7101.44,7171.75,7243.18,7310.78,7377.44,7444.37,7513.58,7577.65,7644.64,7709.29,7773.41,7835.3,7896.5,7957.4,8019.51,8081.17,8143.2,8202.57,8262.24,8321.36,8378.53,8433.55,8486.72,8538.99,8588.75,8637.19,8684.46,8729.67,8774.35,8817.23,8858.34
4,Brasilia,1515.56,1628.14,1740.89,1861.91,1983.61,2114.11,2249.05,2384.04,2526.17,2672.29,2820.0,2971.0,3123.93,3280.17,3436.97,3590.94,3743.3,3891.62,4037.34,4178.99,4324.0,4466.3,4605.91,4732.56,4859.23,4979.25,5095.63,5209.94,5324.06,5433.31,5540.31,5645.22,5749.82,5853.61,5961.8
5,Mexico City,3011.49,3013.86,3015.87,3018.52,3020.81,3023.01,3025.21,3027.68,3029.83,3032.4,3034.92,3037.33,3039.93,3042.11,3044.71,3047.07,3049.52,3051.88,3054.45,3056.78,3059.36,3061.81,3064.34,3067.05,3069.53,3072.04,3074.74,3077.06,3079.82,3082.43,3084.89,3087.45,3090.01,3092.69,3095.19
6,Tokyo,6937.09,6943.75,6950.26,6957.05,6964.09,6971.29,6978.24,6984.42,6991.41,6998.48,7005.18,7012.31,7019.57,7026.64,7033.54,7040.63,7047.99,7055.05,7061.6,7068.61,7075.77,7083.21,7090.84,7098.08,7105.59,7112.22,7119.94,7127.64,7145.65,7153.5,7160.99,7169.41,7177.27,7185.62,7194.57
7,Manila,2854.69,2858.99,2863.93,2868.08,2872.64,2877.68,2881.98,2886.97,2891.82,2897.08,2901.74,2906.18,2911.23,2916.03,2920.61,2925.61,2930.34,2935.36,2940.51,2944.97,2949.71,2955.02,2959.69,2964.44,2969.38,2974.1,2978.76,2983.73,2988.81,2994.17,3005.83,3009.55,3014.42,3019.59,3024.46
8,Shanghai,5702.77,5909.64,6115.98,6317.38,6523.5,6715.71,6902.37,7083.99,7253.84,7414.5,7563.56,7699.12,7824.7,7940.81,8048.08,8147.12,8235.53,8315.87,8388.06,8452.94,8511.1,8563.82,8613.28,8656.86,8697.41,8738.8,8777.15,8812.13,8846.74,8878.44,8910.48,8942.26,8971.5,9001.23,9024.65
9,Guangzhou,6682.24,6949.59,7216.07,7471.64,7692.02,7971.97,8214.77,8459.91,8697.85,8934.22,9163.38,9385.74,9602.66,9814.26,9944.18,10220.69,10413.4,10601.05,10783.97,10961.73,11134.89,11301.07,11466.27,11627.12,11675.16,11929.51,12070.84,12198.75,12317.07,12425.0,12520.02,12609.96,12696.43,12776.96,12727.42
10,New York City,3965.63,3970.22,3974.74,3979.2,3982.5,3988.56,3993.4,3997.92,4003.08,4007.64,4012.77,4018.07,4022.41,4027.49,4036.03,4037.07,4041.85,4046.66,4051.35,4056.24,4061.15,4066.01,4071.11,4076.26,4084.94,4085.83,4090.45,4095.86,4100.34,4105.97,4110.72,4116.21,4121.9,4126.91,4135.35
11,Shenzhen,5811.81,6084.14,6361.85,6642.99,6899.33,7182.32,7418.35,7633.9,7835.03,8024.82,8203.32,8370.56,8525.8,8668.52,8744.22,8918.48,9025.17,9125.17,9215.37,9301.55,9379.5,9449.67,9515.21,9575.29,9560.24,9677.89,9722.8,9765.52,9803.44,9840.41,9874.79,9908.14,9939.28,9968.3,9920.16
12,São Paulo,4465.72,4656.85,4855.25,5062.86,5257.65,5484.36,5701.68,5931.4,6164.08,6396.67,6639.6,6884.88,7141.0,7395.53,7632.41,7903.84,8157.47,8411.9,8662.96,8921.74,9176.11,9431.14,9681.84,9930.05,10153.57,10416.4,10660.09,10899.25,11135.68,11366.91,11592.91,11807.08,12021.24,12224.08,12389.13
13,Mumbai,1822.13,1823.82,1825.23,1826.78,1828.72,1830.38,1832.26,1833.93,1835.5,1837.25,1838.93,1840.81,1842.44,1844.13,1845.82,1847.67,1849.35,1851.16,1852.91,1854.45,1856.35,1858.3,1860.29,1861.9,1863.63,1865.5,1867.5,1869.56,1871.49,1873.63,1875.47,1877.43,1879.13,1881.21,1882.8
14,Keihanshin (Kyoto-Osaka-Kobe),3543.55,3544.76,3546.34,3548.94,3551.38,3552.88,3555.51,3557.16,3559.44,3561.8,3563.76,3566.56,3568.31,3569.99,3572.74,3575.31,3577.43,3579.98,3582.29,3584.29,3586.48,3588.99,3591.69,3594.04,3595.42,3598.08,3600.28,3602.72,3604.68,3606.12,3608.64,3610.91,3613.38,3615.42,3619.07
15,Wuhan,2194.16,2216.05,2237.78,2262.49,2287.61,2314.25,2338.4,2365.12,2392.61,2421.34,2451.34,2483.81,2516.81,2551.1,2585.63,2624.47,2664.97,2703.76,2744.69,2783.44,2824.46,2865.14,2906.17,2947.31,2990.28,3032.2,3074.36,3117.71,3159.59,3202.21,3244.8,3286.56,3329.16,3371.1,3409.41
16,Los Angeles,4927.24,4950.78,4976.82,5002.29,5027.98,5053.41,5077.74,5103.09,5126.93,5150.48,5172.74,5193.77,5214.13,5233.73,5253.89,5271.28,5290.11,5307.12,5323.23,5338.53,5353.42,5367.36,5379.5,5389.92,5400.21,5407.63,5416.39,5421.34,5426.22,5430.16,5433.47,5436.69,5439.75,5442.93,5446.28
17,Chengdu,2759.67,2785.87,2812.4,2835.51,2874.45,2892.12,2921.4,2955.66,2988.61,3024.79,3063.3,3100.85,3140.1,3181.14,3232.19,3271.56,3319.33,3373.03,3424.58,3478.61,3536.3,3594.05,3654.34,3719.31,3788.53,3856.83,3926.57,3998.45,4073.36,4148.31,4223.48,4302.29,4383.64,4462.05,4550.0
18,Chongqing,1470.34,1470.93,1473.79,1472.44,1471.85,1474.04,1474.92,1475.33,1475.13,1475.87,1476.62,1477.4,1475.46,1476.08,1482.85,1477.73,1478.72,1479.4,1481.77,1482.79,1483.75,1484.64,1485.16,1485.32,1489.65,1487.05,1487.64,1488.67,1489.36,1490.06,1490.54,1491.22,1492.12,1490.8,1496.22
19,Tianjin,2356.53,2369.07,2381.8,2395.3,2411.68,2424.88,2440.76,2456.4,2473.82,2492.59,2512.22,2532.62,2552.89,2574.94,2603.09,2621.39,2644.63,2669.41,2696.26,2722.0,2749.38,2777.15,2805.11,2833.71,2867.67,2891.81,2922.29,2951.92,2980.51,3010.94,3039.34,3069.06,3098.68,3126.13,3160.06
20,Istanbul,2056.18,2122.32,2182.93,2249.86,2305.74,2376.26,2441.02,2506.51,2570.95,2640.6,2699.99,2773.9,2846.77,2918.4,2988.85,3066.77,3141.58,3216.52,3291.78,3365.17,3437.41,3509.31,3580.2,3648.61,3707.45,3782.51,3845.81,3910.46,3971.04,4029.98,4089.53,4147.17,4205.14,4261.29,4306.34
21,Kolkata,5373.86,5385.91,5398.62,5410.71,5422.88,5435.2,5447.86,5460.19,5472.89,5485.3,5498.07,5511.02,5523.64,5535.92,5548.71,5561.33,5574.22,5593.19,5606.37,5619.39,5632.55,5645.96,5659.3,5672.91,5686.47,5699.54,5712.29,5725.87,5739.93,5753.84,5767.55,5781.07,5795.49,5808.52,5821.71
22,Hangzhou,2516.32,2521.13,2525.81,2530.55,2535.97,2538.96,2542.8,2546.85,2550.76,2554.58,2558.29,2562.41,2566.21,2570.24,2574.44,2578.04,2582.28,2586.09,2589.67,2593.74,2597.47,2601.82,2606.02,2610.13,2614.85,2617.19,2621.19,2625.39,2629.68,2633.68,2637.55,2642.07,2646.56,2650.83,2656.81
23,Surabaya,2971.71,2977.23,2983.03,2989.1,2994.52,3000.53,3006.26,3011.67,3017.2,3022.71,3028.57,3034.34,3040.24,3046.28,3051.93,3057.65,3063.08,3068.9,3074.75,3080.71,3088.61,3094.21,3100.31,3106.53,3112.93,3117.79,3123.43,3129.32,3134.96,3140.97,3146.92,3153.35,3158.6,3164.75,3171.99
24,Xi'an,1753.64,1755.86,1758.32,1761.04,1763.56,1766.26,1769.01,1771.95,1774.55,1777.27,1779.94,1783.14,1786.18,1789.05,1791.62,1794.59,1797.92,1800.59,1803.39,1806.54,1809.55,1812.63,1815.51,1818.35,1821.27,1824.43,1827.52,1831.09,1834.22,1837.43,1840.77,1844.1,1846.84,1850.21,1853.45
25,Bangalore,2021.43,2023.65,2025.95,2027.77,2028.98,2031.89,2034.0,2035.92,2038.42,2040.79,2043.23,2045.64,2047.68,2049.97,2050.96,2054.17,2056.39,2059.17,2061.75,2063.98,2066.31,2068.81,2071.39,2074.09,2075.07,2079.26,2082.44,2085.3,2087.85,2090.6,2093.62,2097.08,2100.53,2102.93,2103.94
26,Changzhou,3096.05,3102.96,3108.98,3112.43,3119.63,3124.79,3131.92,3138.93,3145.49,3152.87,3164.68,3172.46,3180.28,3187.68,3195.56,3204.27,3213.03,3222.49,3231.01,3239.33,3248.16,3257.81,3267.26,3276.62,3284.95,3295.61,3305.84,3315.47,3326.33,3336.57,3347.37,3358.46,3369.56,3380.6,3391.41
27,Rio de Janeiro,2162.09,2164.15,2166.61,2168.89,2171.04,2173.2,2175.45,2177.66,2179.83,2182.16,2184.48,2186.78,2189.15,2191.49,2194.09,2196.34,2198.67,2201.2,2203.42,2205.63,2208.1,2210.3,2212.94,2215.46,2217.79,2219.98,2222.4,2224.62,2226.83,2229.41,2231.94,2234.06,2236.69,2239.05,2241.6
28,Shantou,3308.63,3384.69,3461.48,3537.85,3608.31,3696.26,3777.2,3859.59,3940.25,4024.07,4109.94,4195.96,4276.46,4349.93,4403.31,4494.72,4561.22,4626.66,4689.17,4747.83,4802.04,4855.27,4905.37,4951.41,4971.5,5030.74,5065.31,5095.82,5123.1,5148.74,5171.74,5194.12,5216.12,5235.99,5231.16
29,Nanjing,2056.78,2058.76,2061.49,2063.13,2063.86,2064.57,2066.42,2068.98,2070.75,2073.39,2076.99,2079.71,2082.03,2084.39,2087.7,2090.12,2092.56,2095.02,2098.13,2100.32,2103.03,2105.51,2107.68,2110.61,2112.94,2115.51,2118.28,2121.66,2124.78,2127.76,2129.68,2132.76,2136.2,2139.24,2141.77
30,Rhine-Ruhr,2198.11,2199.69,2201.12,2202.5,2203.77,2204.99,2206.19,2207.58,2209.0,2210.25,2211.55,2213.0,2214.33,2215.99,2217.32,2218.96,2220.55,2221.74,2223.26,2224.61,2226.01,2227.45,2228.82,2230.58,2232.05,2233.25,2234.98,2236.25,2237.89,2243.86,2245.66,2247.3,2249.05,2250.71,2252.55
31,Jinan,1605.34,1608.11,1610.55,1611.92,1614.48,1616.94,1619.69,1622.31,1625.29,1628.1,1631.37,1634.08,1637.09,1640.11,1642.74,1645.87,1648.79,1653.61,1656.67,1659.92,1662.86,1666.41,1668.68,1671.72,1674.69,1678.6,1681.81,1685.1,1689.03,1692.3,1695.74,1698.89,1701.96,1704.99,1707.61
32,Chennai,1203.26,1205.39,1207.41,1209.8,1212.17,1214.31,1216.47,1218.77,1220.9,1223.19,1225.58,1228.12,1230.16,1232.48,1235.14,1237.55,1239.69,1242.03,1244.64,1247.15,1249.41,1251.72,1254.18,1256.86,1259.34,1261.9,1265.38,1268.03,1270.91,1273.36,1275.98,1278.87,1281.8,1284.65,1288.63
33,Harbin,1146.69,1169.92,1193.25,1218.65,1246.09,1274.62,1304.81,1335.88,1369.96,1405.27,1441.07,1477.43,1513.71,1552.55,1588.4,1628.39,1670.83,1713.43,1756.85,1802.81,1851.49,1897.3,1947.87,1996.47,2048.26,2100.28,2155.3,2208.63,2265.79,2324.26,2382.59,2441.73,2504.11,2567.41,2631.07
34,Chicago,2829.13,2837.09,2843.84,2851.78,2856.68,2867.14,2874.7,2882.74,2890.62,2897.6,2905.08,2912.54,2920.4,2927.55,2935.61,2942.97,2950.98,2958.91,2966.72,2974.38,2981.89,2989.81,2997.06,3004.96,3014.66,3018.97,3027.3,3035.53,3043.34,3051.86,3060.59,3068.42,3076.48,3084.96,3095.23
35,Zhengzhou,2185.99,2188.71,2191.29,2194.15,2196.54,2199.67,2202.56,2205.67,2208.46,2211.75,2215.09,2217.94,2221.4,2224.66,2228.86,2232.26,2236.01,2239.44,2243.22,2246.59,2250.2,2253.86,2256.96,2260.26,2264.65,2268.65,2272.02,2275.96,2279.76,2283.84,2288.05,2291.87,2296.23,2300.14,2304.95
36,Johannesburg,3225.69,3310.46,3397.93,3486.3,3573.72,3663.42,3752.97,3841.45,3929.93,4020.77,4109.91,4201.62,4288.73,4383.49,4471.06,4568.75,4659.22,4752.74,4847.48,4940.1,5032.56,5123.58,5216.52,5305.95,5385.97,5485.34,5576.37,5664.22,5752.31,5838.45,5924.25,6011.04,6094.76,6180.12,6255.71
37,Hanoi,3389.62,3400.16,3410.69,3421.26,3432.0,3442.89,3454.29,3465.58,3476.85,3487.72,3499.25,3510.78,3522.67,3532.88,3544.79,3556.19,3574.75,3586.17,3598.4,3610.59,3623.24,3634.94,3646.88,3660.35,3676.28,3684.95,3698.52,3711.12,3723.81,3736.3,3748.79,3761.71,3774.92,3787.45,3802.05
38,Berlin,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
39,Ankara,878.35,900.48,922.48,946.65,971.49,997.0,1024.56,1054.68,1086.48,1120.4,1155.98,1192.56,1232.42,1275.27,1324.56,1368.88,1420.15,1477.83,1539.96,1600.48,1667.01,1735.26,1808.15,1884.08,1969.39,2056.35,2147.19,2243.52,2345.93,2447.78,2555.97,2667.27,2782.11,2901.49,3032.52
40,Bangkok,2891.93,2927.91,2963.81,3002.59,3042.04,3077.6,3116.47,3155.16,3195.95,3235.46,3275.23,3316.43,3354.9,3395.49,3441.22,3476.31,3517.08,3555.43,3596.75,3640.83,3681.84,3721.78,3764.08,3805.55,3855.25,3886.4,3927.85,3965.69,4006.3,4044.95,4083.73,4122.39,4159.45,4197.25,4240.41
