"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,4700,4787,4863,4944,5012,5106,5177,5255,5364,5464,5562,5678,5811,5904,5990,6126,6236,6351,6476,6607,6731,6875,7028,7172,7280,7485,7632,7815,7988,8184,8373,8563,8793,8969,9075
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,2613,2613,2613,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,6625,6708,6815,6936,7025,7137,7247,7340,7425,7504,7584,7640,7691,7767,7837,7905,7960,8017,8088,8149,8218,8285,8342,8420,8482,8548,8608,8672,8739,8797,8853,8899,8966,9025,9067
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,1284,1382,1502,1618,1714,1875,2006,2120,2285,2444,2617,2775,2978,3181,3373,3594,3773,3971,4164,4369,4585,4787,4989,5163,5346,5555,5766,5939,6131,6295,6472,6652,6836,7028,7149
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,5117,5289,5434,5600,5791,5997,6220,6448,6675,6914,7184,7470,7769,8071,8363,8674,8967,9222,9467,9661,9809,9957,10061,10153,10197,10313,10383,10443,10502,10550,10593,10632,10678,10728,10717
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,6413,6733,7034,7297,7519,7841,8094,8334,8574,8774,8978,9180,9356,9512,9581,9861,10044,10242,10438,10616,10790,10999,11214,11409,11479,11781,11998,12198,12377,12546,12725,12873,13005,13128,13114
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,5732,6038,6320,6605,6863,7194,7462,7696,7920,8130,8305,8508,8684,8834,8904,9097,9220,9315,9407,9504,9597,9671,9737,9803,9787,9889,9919,9947,9978,10015,10033,10067,10089,10114,10094
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,4256,4468,4703,4918,5085,5326,5556,5778,6017,6261,6513,6752,6992,7263,7499,7758,8034,8308,8548,8832,9134,9433,9737,10018,10284,10604,10901,11157,11445,11694,11961,12210,12478,12715,12889
