,city,country_x,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,Beijing,China,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0
1,New Delhi,India,1053050912.0,1071477855.0,1089807112.0,1108027848.0,1126135777.0,1144118674.0,1161977719.0,1179681239.0,1197146906.0,1214270132.0,1230980691.0,1247236029.0,1263065852.0,1278562207.0,1293859294.0,1309053980.0,1324171354.0,1339180127.0
2,Washington D.C.,United States,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309326085.0,311580009.0,313874218.0,316057727.0,318386421.0,320742673.0,323071342.0,325147121.0
3,Jakarta,Indonesia,211540429.0,214506502.0,217508059.0,220545214.0,223614649.0,226712730.0,229838202.0,232989141.0,236159276.0,239340478.0,242524123.0,245707511.0,248883232.0,252032263.0,255131116.0,258162113.0,261115456.0,263991379.0
4,Brasilia,Brazil,175287587.0,177750670.0,180151021.0,182482149.0,184738458.0,186917361.0,189012412.0,191026637.0,192979029.0,194895996.0,196796269.0,198686688.0,200560983.0,202408632.0,204213133.0,205962108.0,207652865.0,209288278.0
5,Mexico City,Mexico,101719673.0,103067068.0,104355608.0,105640453.0,106995583.0,108472228.0,110092378.0,111836346.0,113661809.0,115505228.0,117318941.0,119090017.0,120828307.0,122535969.0,124221600.0,125890949.0,127540423.0,129163276.0
6,Tokyo,Japan,126843000.0,127149000.0,127445000.0,127718000.0,127761000.0,127773000.0,127854000.0,128001000.0,128063000.0,128047000.0,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,126994511.0,126785797.0
7,Manila,Philippines,77991569.0,79665315.0,81352060.0,83031954.0,84678493.0,86274237.0,87809419.0,89293490.0,90751864.0,92220879.0,93726624.0,95277940.0,96866642.0,98481032.0,100102249.0,101716359.0,103320222.0,104918090.0
8,Shanghai,China,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0
9,Guangzhou,China,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0
