Country Name,Country Code,Indicator Name,2000,2005,2010,2015
Aruba,ABW,Population ages 0-14 (% of total population),23.17920157,21.47334326,20.87361929,18.70309849
Afghanistan,AFG,Population ages 0-14 (% of total population),48.89337334,47.85964149,48.17814541,44.87703888
Angola,AGO,Population ages 0-14 (% of total population),47.19983376,46.88402078,47.04161362,47.10897115
Albania,ALB,Population ages 0-14 (% of total population),30.33369412,26.50088603,22.45508261,18.66872766
Andorra,AND,Population ages 0-14 (% of total population),,,,
Arab World,ARB,Population ages 0-14 (% of total population),38.47488079,35.84092962,33.82426413,32.98490177
United Arab Emirates,ARE,Population ages 0-14 (% of total population),26.04329461,18.34127577,13.15629917,14.16389036
Argentina,ARG,Population ages 0-14 (% of total population),28.4621942,27.28001137,26.03595845,25.21116453
Armenia,ARM,Population ages 0-14 (% of total population),25.8110934,21.4614649,19.46068545,20.08003273
American Samoa,ASM,Population ages 0-14 (% of total population),,,,
Antigua and Barbuda,ATG,Population ages 0-14 (% of total population),28.69264365,26.50708893,24.33998273,22.57443943
Australia,AUS,Population ages 0-14 (% of total population),20.88242324,19.81475369,19.03233624,18.8873399
Austria,AUT,Population ages 0-14 (% of total population),16.82714781,15.97175795,14.71666475,14.11997935
Azerbaijan,AZE,Population ages 0-14 (% of total population),31.14772464,26.22948362,22.83533801,22.8738889
Burundi,BDI,Population ages 0-14 (% of total population),50.07194847,46.97794745,45.14031418,45.52068252
Belgium,BEL,Population ages 0-14 (% of total population),17.5658063,17.15006685,16.88274124,17.00415665
Benin,BEN,Population ages 0-14 (% of total population),45.13875791,44.43852435,43.84600977,43.03709018
Burkina Faso,BFA,Population ages 0-14 (% of total population),46.76984947,46.49593613,46.22335595,45.57394047
Bangladesh,BGD,Population ages 0-14 (% of total population),36.95701872,34.36456896,31.98694051,29.27806689
Bulgaria,BGR,Population ages 0-14 (% of total population),15.65998667,13.61635455,13.49632216,14.27373568
Bahrain,BHR,Population ages 0-14 (% of total population),30.14078912,25.68435069,20.31155811,20.84971327
"Bahamas, The",BHS,Population ages 0-14 (% of total population),29.3070649,28.10911811,26.88382891,23.99026205
Bosnia and Herzegovina,BIH,Population ages 0-14 (% of total population),20.71187809,17.70187003,15.7370505,15.24155666
Belarus,BLR,Population ages 0-14 (% of total population),18.52567032,15.59807858,14.89571655,16.26355763
Belize,BLZ,Population ages 0-14 (% of total population),40.7415644,38.90239605,35.61265754,32.10263401
Bermuda,BMU,Population ages 0-14 (% of total population),,,,
